PING 10.1.2.2 (10.1.2.2) 56(84) bytes of data.
64 bytes from 10.1.2.2: icmp_req=1 ttl=62 time=3.61 ms
64 bytes from 10.1.2.2: icmp_req=2 ttl=62 time=13.8 ms
64 bytes from 10.1.2.2: icmp_req=3 ttl=62 time=62.8 ms
64 bytes from 10.1.2.2: icmp_req=4 ttl=62 time=14.8 ms
64 bytes from 10.1.2.2: icmp_req=5 ttl=62 time=61.3 ms
64 bytes from 10.1.2.2: icmp_req=6 ttl=62 time=13.2 ms
64 bytes from 10.1.2.2: icmp_req=7 ttl=62 time=10.6 ms
64 bytes from 10.1.2.2: icmp_req=8 ttl=62 time=13.1 ms
64 bytes from 10.1.2.2: icmp_req=9 ttl=62 time=13.1 ms
64 bytes from 10.1.2.2: icmp_req=10 ttl=62 time=10.8 ms
64 bytes from 10.1.2.2: icmp_req=11 ttl=62 time=91.8 ms
64 bytes from 10.1.2.2: icmp_req=12 ttl=62 time=27.4 ms
64 bytes from 10.1.2.2: icmp_req=13 ttl=62 time=11.8 ms
64 bytes from 10.1.2.2: icmp_req=14 ttl=62 time=70.4 ms
64 bytes from 10.1.2.2: icmp_req=15 ttl=62 time=0.502 ms
64 bytes from 10.1.2.2: icmp_req=16 ttl=62 time=15.5 ms
64 bytes from 10.1.2.2: icmp_req=17 ttl=62 time=14.7 ms
64 bytes from 10.1.2.2: icmp_req=18 ttl=62 time=10.4 ms
64 bytes from 10.1.2.2: icmp_req=19 ttl=62 time=52.5 ms
64 bytes from 10.1.2.2: icmp_req=20 ttl=62 time=13.4 ms
64 bytes from 10.1.2.2: icmp_req=21 ttl=62 time=27.2 ms
