PING 10.1.2.2 (10.1.2.2) 56(84) bytes of data.
64 bytes from 10.1.2.2: icmp_req=1 ttl=62 time=26.8 ms
64 bytes from 10.1.2.2: icmp_req=2 ttl=62 time=231 ms
64 bytes from 10.1.2.2: icmp_req=3 ttl=62 time=22.1 ms
64 bytes from 10.1.2.2: icmp_req=4 ttl=62 time=15.7 ms
64 bytes from 10.1.2.2: icmp_req=5 ttl=62 time=12.9 ms
64 bytes from 10.1.2.2: icmp_req=6 ttl=62 time=12.7 ms
64 bytes from 10.1.2.2: icmp_req=7 ttl=62 time=47.1 ms
64 bytes from 10.1.2.2: icmp_req=8 ttl=62 time=22.8 ms
64 bytes from 10.1.2.2: icmp_req=9 ttl=62 time=10.5 ms
64 bytes from 10.1.2.2: icmp_req=10 ttl=62 time=45.6 ms
64 bytes from 10.1.2.2: icmp_req=11 ttl=62 time=17.3 ms
64 bytes from 10.1.2.2: icmp_req=12 ttl=62 time=89.4 ms
64 bytes from 10.1.2.2: icmp_req=13 ttl=62 time=23.5 ms
64 bytes from 10.1.2.2: icmp_req=14 ttl=62 time=190 ms
64 bytes from 10.1.2.2: icmp_req=15 ttl=62 time=22.0 ms
64 bytes from 10.1.2.2: icmp_req=16 ttl=62 time=91.0 ms
64 bytes from 10.1.2.2: icmp_req=17 ttl=62 time=30.7 ms
64 bytes from 10.1.2.2: icmp_req=18 ttl=62 time=18.1 ms
64 bytes from 10.1.2.2: icmp_req=19 ttl=62 time=54.0 ms
64 bytes from 10.1.2.2: icmp_req=20 ttl=62 time=21.0 ms
64 bytes from 10.1.2.2: icmp_req=21 ttl=62 time=148 ms
64 bytes from 10.1.2.2: icmp_req=22 ttl=62 time=49.6 ms
64 bytes from 10.1.2.2: icmp_req=23 ttl=62 time=20.9 ms
64 bytes from 10.1.2.2: icmp_req=24 ttl=62 time=148 ms
64 bytes from 10.1.2.2: icmp_req=25 ttl=62 time=64.2 ms
64 bytes from 10.1.2.2: icmp_req=26 ttl=62 time=17.6 ms
64 bytes from 10.1.2.2: icmp_req=27 ttl=62 time=22.7 ms
64 bytes from 10.1.2.2: icmp_req=28 ttl=62 time=59.0 ms
64 bytes from 10.1.2.2: icmp_req=29 ttl=62 time=25.1 ms
64 bytes from 10.1.2.2: icmp_req=30 ttl=62 time=78.4 ms
64 bytes from 10.1.2.2: icmp_req=31 ttl=62 time=24.6 ms
64 bytes from 10.1.2.2: icmp_req=43 ttl=62 time=3.46 ms
64 bytes from 10.1.2.2: icmp_req=44 ttl=62 time=0.445 ms
64 bytes from 10.1.2.2: icmp_req=45 ttl=62 time=0.445 ms
64 bytes from 10.1.2.2: icmp_req=46 ttl=62 time=0.455 ms
64 bytes from 10.1.2.2: icmp_req=47 ttl=62 time=0.494 ms
64 bytes from 10.1.2.2: icmp_req=48 ttl=62 time=0.529 ms
64 bytes from 10.1.2.2: icmp_req=49 ttl=62 time=0.448 ms
64 bytes from 10.1.2.2: icmp_req=50 ttl=62 time=0.471 ms
64 bytes from 10.1.2.2: icmp_req=51 ttl=62 time=0.430 ms
64 bytes from 10.1.2.2: icmp_req=52 ttl=62 time=0.478 ms
64 bytes from 10.1.2.2: icmp_req=53 ttl=62 time=0.488 ms
64 bytes from 10.1.2.2: icmp_req=54 ttl=62 time=0.497 ms
64 bytes from 10.1.2.2: icmp_req=55 ttl=62 time=0.449 ms
64 bytes from 10.1.2.2: icmp_req=56 ttl=62 time=0.486 ms
64 bytes from 10.1.2.2: icmp_req=57 ttl=62 time=0.546 ms
64 bytes from 10.1.2.2: icmp_req=58 ttl=62 time=0.516 ms
64 bytes from 10.1.2.2: icmp_req=59 ttl=62 time=0.492 ms
64 bytes from 10.1.2.2: icmp_req=60 ttl=62 time=0.540 ms
64 bytes from 10.1.2.2: icmp_req=61 ttl=62 time=0.571 ms
64 bytes from 10.1.2.2: icmp_req=62 ttl=62 time=0.525 ms
64 bytes from 10.1.2.2: icmp_req=63 ttl=62 time=0.507 ms
64 bytes from 10.1.2.2: icmp_req=64 ttl=62 time=0.568 ms
64 bytes from 10.1.2.2: icmp_req=65 ttl=62 time=0.485 ms
64 bytes from 10.1.2.2: icmp_req=66 ttl=62 time=0.410 ms
64 bytes from 10.1.2.2: icmp_req=67 ttl=62 time=0.447 ms
64 bytes from 10.1.2.2: icmp_req=68 ttl=62 time=0.485 ms
64 bytes from 10.1.2.2: icmp_req=69 ttl=62 time=0.457 ms
64 bytes from 10.1.2.2: icmp_req=70 ttl=62 time=0.516 ms
64 bytes from 10.1.2.2: icmp_req=71 ttl=62 time=0.457 ms
64 bytes from 10.1.2.2: icmp_req=72 ttl=62 time=0.563 ms
64 bytes from 10.1.2.2: icmp_req=73 ttl=62 time=0.440 ms
