NXST_FLOW reply (xid=0x4):
 cookie=0x0, duration=4.310s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, idle_age=4, priority=65535,arp,in_port=1,vlan_tci=0x0000,dl_src=00:b5:73:9f:7b:d1,dl_dst=00:b6:78:9f:7b:d2,arp_spa=10.1.3.2,arp_tpa=10.1.3.1,arp_op=1 actions=LOCAL
 cookie=0x0, duration=4.306s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, idle_age=4, priority=65535,arp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,arp_spa=10.1.3.1,arp_tpa=10.1.3.2,arp_op=2 actions=output:1
 cookie=0x0, duration=8.512s, table=0, n_packets=6208, n_bytes=3758186, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.5,nw_dst=10.1.2.2,nw_tos=224,tp_src=1000,tp_dst=80 actions=output:1
 cookie=0x0, duration=8.467s, table=0, n_packets=6496, n_bytes=3905664, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.7,nw_dst=10.1.2.2,nw_tos=224,tp_src=1005,tp_dst=80 actions=output:1
 cookie=0x0, duration=8.254s, table=0, n_packets=9, n_bytes=3772, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=00:b5:73:9f:7b:d1,dl_dst=00:b6:78:9f:7b:d2,nw_src=10.1.2.2,nw_dst=10.1.1.1,nw_tos=192,icmp_type=3,icmp_code=3 actions=LOCAL
 cookie=0x0, duration=8.385s, table=0, n_packets=6306, n_bytes=3824949, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.11,nw_dst=10.1.2.2,nw_tos=224,tp_src=1009,tp_dst=80 actions=output:1
 cookie=0x0, duration=8.255s, table=0, n_packets=9, n_bytes=4646, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=00:b5:73:9f:7b:d1,dl_dst=00:b6:78:9f:7b:d2,nw_src=10.1.2.2,nw_dst=10.1.1.4,nw_tos=192,icmp_type=3,icmp_code=3 actions=LOCAL
 cookie=0x0, duration=8.267s, table=0, n_packets=6306, n_bytes=3784542, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.1,nw_dst=10.1.2.2,nw_tos=224,tp_src=1004,tp_dst=80 actions=output:1
 cookie=0x0, duration=8.405s, table=0, n_packets=6398, n_bytes=3842311, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.9,nw_dst=10.1.2.2,nw_tos=224,tp_src=1001,tp_dst=80 actions=output:1
 cookie=0x0, duration=8.421s, table=0, n_packets=6532, n_bytes=3951702, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.9,nw_dst=10.1.2.2,nw_tos=224,tp_src=1007,tp_dst=80 actions=output:1
 cookie=0x0, duration=8.396s, table=0, n_packets=6227, n_bytes=3758589, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.9,nw_dst=10.1.2.2,nw_tos=224,tp_src=1004,tp_dst=80 actions=output:1
 cookie=0x0, duration=8.311s, table=0, n_packets=6351, n_bytes=3812671, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.4,nw_dst=10.1.2.2,nw_tos=224,tp_src=1006,tp_dst=80 actions=output:1
 cookie=0x0, duration=8.423s, table=0, n_packets=6288, n_bytes=3832023, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.11,nw_dst=10.1.2.2,nw_tos=224,tp_src=1001,tp_dst=80 actions=output:1
 cookie=0x0, duration=8.380s, table=0, n_packets=6447, n_bytes=3900490, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.2,nw_dst=10.1.2.2,nw_tos=224,tp_src=1000,tp_dst=80 actions=output:1
 cookie=0x0, duration=8.368s, table=0, n_packets=6245, n_bytes=3779703, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.4,nw_dst=10.1.2.2,nw_tos=224,tp_src=1002,tp_dst=80 actions=output:1
 cookie=0x0, duration=8.452s, table=0, n_packets=6292, n_bytes=3786380, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.7,nw_dst=10.1.2.2,nw_tos=224,tp_src=1006,tp_dst=80 actions=output:1
 cookie=0x0, duration=8.266s, table=0, n_packets=9, n_bytes=4194, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=00:b5:73:9f:7b:d1,dl_dst=00:b6:78:9f:7b:d2,nw_src=10.1.2.2,nw_dst=10.1.1.7,nw_tos=192,icmp_type=3,icmp_code=3 actions=LOCAL
 cookie=0x0, duration=8.494s, table=0, n_packets=6383, n_bytes=3819076, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.2,nw_dst=10.1.2.2,nw_tos=224,tp_src=1006,tp_dst=80 actions=output:1
 cookie=0x0, duration=8.385s, table=0, n_packets=6405, n_bytes=3817666, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.7,nw_dst=10.1.2.2,nw_tos=224,tp_src=1001,tp_dst=80 actions=output:1
 cookie=0x0, duration=8.422s, table=0, n_packets=6343, n_bytes=3855877, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.7,nw_dst=10.1.2.2,nw_tos=224,tp_src=1000,tp_dst=80 actions=output:1
 cookie=0x0, duration=8.311s, table=0, n_packets=6242, n_bytes=3787845, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.11,nw_dst=10.1.2.2,nw_tos=224,tp_src=1010,tp_dst=80 actions=output:1
 cookie=0x0, duration=8.586s, table=0, n_packets=6320, n_bytes=3846189, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.4,nw_dst=10.1.2.2,nw_tos=224,tp_src=1007,tp_dst=80 actions=output:1
 cookie=0x0, duration=8.435s, table=0, n_packets=6369, n_bytes=3839666, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.1,nw_dst=10.1.2.2,nw_tos=224,tp_src=1008,tp_dst=80 actions=output:1
 cookie=0x0, duration=8.350s, table=0, n_packets=6378, n_bytes=3829443, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.6,nw_dst=10.1.2.2,nw_tos=224,tp_src=1008,tp_dst=80 actions=output:1
 cookie=0x0, duration=8.416s, table=0, n_packets=6294, n_bytes=3795653, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.10,nw_dst=10.1.2.2,nw_tos=224,tp_src=1010,tp_dst=80 actions=output:1
 cookie=0x0, duration=8.307s, table=0, n_packets=6463, n_bytes=3913613, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.9,nw_dst=10.1.2.2,nw_tos=224,tp_src=1010,tp_dst=80 actions=output:1
 cookie=0x0, duration=8.387s, table=0, n_packets=6263, n_bytes=3757721, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.10,nw_dst=10.1.2.2,nw_tos=224,tp_src=1006,tp_dst=80 actions=output:1
 cookie=0x0, duration=8.367s, table=0, n_packets=6358, n_bytes=3839881, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.6,nw_dst=10.1.2.2,nw_tos=224,tp_src=1009,tp_dst=80 actions=output:1
 cookie=0x0, duration=8.363s, table=0, n_packets=6440, n_bytes=3864932, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.10,nw_dst=10.1.2.2,nw_tos=224,tp_src=1001,tp_dst=80 actions=output:1
 cookie=0x0, duration=8.517s, table=0, n_packets=6295, n_bytes=3781238, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.10,nw_dst=10.1.2.2,nw_tos=224,tp_src=1007,tp_dst=80 actions=output:1
 cookie=0x0, duration=8.573s, table=0, n_packets=6498, n_bytes=3941377, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.2,nw_dst=10.1.2.2,nw_tos=224,tp_src=1007,tp_dst=80 actions=output:1
 cookie=0x0, duration=8.329s, table=0, n_packets=6324, n_bytes=3792437, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.7,nw_dst=10.1.2.2,nw_tos=224,tp_src=1007,tp_dst=80 actions=output:1
 cookie=0x0, duration=8.305s, table=0, n_packets=6396, n_bytes=3842165, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.1,nw_dst=10.1.2.2,nw_tos=224,tp_src=1005,tp_dst=80 actions=output:1
 cookie=0x0, duration=8.348s, table=0, n_packets=6299, n_bytes=3839201, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.10,nw_dst=10.1.2.2,nw_tos=224,tp_src=1009,tp_dst=80 actions=output:1
 cookie=0x0, duration=8.380s, table=0, n_packets=6304, n_bytes=3809174, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.6,nw_dst=10.1.2.2,nw_tos=224,tp_src=1002,tp_dst=80 actions=output:1
 cookie=0x0, duration=8.444s, table=0, n_packets=6378, n_bytes=3820286, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.5,nw_dst=10.1.2.2,nw_tos=224,tp_src=1005,tp_dst=80 actions=output:1
 cookie=0x0, duration=8.437s, table=0, n_packets=6361, n_bytes=3825129, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.6,nw_dst=10.1.2.2,nw_tos=224,tp_src=1006,tp_dst=80 actions=output:1
 cookie=0x0, duration=8.501s, table=0, n_packets=6376, n_bytes=3829239, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.5,nw_dst=10.1.2.2,nw_tos=224,tp_src=1003,tp_dst=80 actions=output:1
 cookie=0x0, duration=8.416s, table=0, n_packets=6332, n_bytes=3812114, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.1,nw_dst=10.1.2.2,nw_tos=224,tp_src=1003,tp_dst=80 actions=output:1
 cookie=0x0, duration=8.512s, table=0, n_packets=6268, n_bytes=3780562, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.1,nw_dst=10.1.2.2,nw_tos=224,tp_src=1006,tp_dst=80 actions=output:1
 cookie=0x0, duration=8.564s, table=0, n_packets=6168, n_bytes=3747973, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.9,nw_dst=10.1.2.2,nw_tos=224,tp_src=1003,tp_dst=80 actions=output:1
 cookie=0x0, duration=8.346s, table=0, n_packets=6437, n_bytes=3851670, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.1,nw_dst=10.1.2.2,nw_tos=224,tp_src=1000,tp_dst=80 actions=output:1
 cookie=0x0, duration=8.617s, table=0, n_packets=9, n_bytes=4496, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=00:b5:73:9f:7b:d1,dl_dst=00:b6:78:9f:7b:d2,nw_src=10.1.2.2,nw_dst=10.1.1.11,nw_tos=192,icmp_type=3,icmp_code=3 actions=LOCAL
 cookie=0x0, duration=8.411s, table=0, n_packets=6262, n_bytes=3780703, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.7,nw_dst=10.1.2.2,nw_tos=224,tp_src=1008,tp_dst=80 actions=output:1
 cookie=0x0, duration=8.266s, table=0, n_packets=9, n_bytes=4010, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=00:b5:73:9f:7b:d1,dl_dst=00:b6:78:9f:7b:d2,nw_src=10.1.2.2,nw_dst=10.1.1.5,nw_tos=192,icmp_type=3,icmp_code=3 actions=LOCAL
 cookie=0x0, duration=8.282s, table=0, n_packets=6302, n_bytes=3785139, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.11,nw_dst=10.1.2.2,nw_tos=224,tp_src=1005,tp_dst=80 actions=output:1
 cookie=0x0, duration=8.473s, table=0, n_packets=6448, n_bytes=3873911, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.10,nw_dst=10.1.2.2,nw_tos=224,tp_src=1004,tp_dst=80 actions=output:1
 cookie=0x0, duration=8.525s, table=0, n_packets=6367, n_bytes=3843773, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.4,nw_dst=10.1.2.2,nw_tos=224,tp_src=1003,tp_dst=80 actions=output:1
 cookie=0x0, duration=8.473s, table=0, n_packets=6334, n_bytes=3805255, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.1,nw_dst=10.1.2.2,nw_tos=224,tp_src=1002,tp_dst=80 actions=output:1
 cookie=0x0, duration=8.351s, table=0, n_packets=6217, n_bytes=3724338, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.4,nw_dst=10.1.2.2,nw_tos=224,tp_src=1000,tp_dst=80 actions=output:1
 cookie=0x0, duration=8.411s, table=0, n_packets=6351, n_bytes=3821959, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.11,nw_dst=10.1.2.2,nw_tos=224,tp_src=1000,tp_dst=80 actions=output:1
