NXST_FLOW reply (xid=0x4): flags=[more]
 cookie=0x0, duration=2.661s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=2, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=40411,tp_dst=20569 actions=output:1
 cookie=0x0, duration=5.472s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=5, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=36909,tp_dst=24202 actions=output:1
 cookie=0x0, duration=3.907s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=3, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=21812,tp_dst=7475 actions=output:1
 cookie=0x0, duration=3.889s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=3, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=1204,tp_dst=55316 actions=output:1
 cookie=0x0, duration=1.741s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=1, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=13355,tp_dst=17087 actions=output:1
 cookie=0x0, duration=4.153s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=4, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=45276,tp_dst=55125 actions=output:1
 cookie=0x0, duration=1.065s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=1, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=3992,tp_dst=64709 actions=output:1
 cookie=0x0, duration=7.017s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=7, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=19820,tp_dst=35588 actions=output:1
 cookie=0x0, duration=3.726s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=3, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=42212,tp_dst=43801 actions=output:1
 cookie=0x0, duration=1.944s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=1, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=52902,tp_dst=42833 actions=output:1
 cookie=0x0, duration=2.210s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=2, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=1843,tp_dst=39112 actions=output:1
 cookie=0x0, duration=5.028s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=5, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=9806,tp_dst=5255 actions=output:1
 cookie=0x0, duration=6.253s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=6, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=44913,tp_dst=5974 actions=output:1
 cookie=0x0, duration=8.077s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=8, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=21609,tp_dst=31216 actions=output:1
 cookie=0x0, duration=3.238s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=3, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=60997,tp_dst=53375 actions=output:1
 cookie=0x0, duration=1.893s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=1, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=21373,tp_dst=36104 actions=output:1
 cookie=0x0, duration=4.293s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=4, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=24984,tp_dst=64976 actions=output:1
 cookie=0x0, duration=3.156s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=3, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=56472,tp_dst=30295 actions=output:1
 cookie=0x0, duration=0.346s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=3920,tp_dst=59228 actions=output:1
 cookie=0x0, duration=2.959s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=2, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=61613,tp_dst=52307 actions=output:1
 cookie=0x0, duration=4.613s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=4, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=46376,tp_dst=65013 actions=output:1
 cookie=0x0, duration=3.051s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=3, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=56868,tp_dst=59984 actions=output:1
 cookie=0x0, duration=6.887s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=6, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=63253,tp_dst=47237 actions=output:1
 cookie=0x0, duration=8.796s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=8, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=40194,tp_dst=2633 actions=output:1
 cookie=0x0, duration=2.875s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=2, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=46127,tp_dst=195 actions=output:1
 cookie=0x0, duration=5.819s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=5, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=65532,tp_dst=59280 actions=output:1
 cookie=0x0, duration=7.561s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=7, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=12207,tp_dst=24269 actions=output:1
 cookie=0x0, duration=2.374s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=2, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=46131,tp_dst=11405 actions=output:1
 cookie=0x0, duration=7.540s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=7, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=13190,tp_dst=21631 actions=output:1
 cookie=0x0, duration=8.603s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=8, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=46518,tp_dst=16145 actions=output:1
 cookie=0x0, duration=6.106s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=6, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=33553,tp_dst=43492 actions=output:1
 cookie=0x0, duration=1.565s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=1, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=24135,tp_dst=21567 actions=output:1
 cookie=0x0, duration=3.451s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=3, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=26799,tp_dst=27660 actions=output:1
 cookie=0x0, duration=3.872s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=3, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=36986,tp_dst=8149 actions=output:1
